No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Variant Group;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES ---
77;Perfumes;Carolina Herrera;Carolina Herrera 212 Herrera VIP for women - 30 ml - Eau de parfum;30 ml;30.18;59.95;29.77;49.7%;88;DST358045;8411061711774;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
78;Perfumes;Carolina Herrera;Damesparfum Carolina Herrera EDT Ch L'eau 50 ml;50 ml;41.19;79.95;38.76;48.5%;5;DST189963;8411061894873;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
79;Perfumes;Carolina Herrera;Carolina Herrera CH EDT W 50 ml;50 ml;43.24;84.95;41.71;49.1%;7;DST63659;8411061607169;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
80;Perfumes;Carolina Herrera;Carolina Herrera Ch Eau De Toilette 50ml Spray;50 ml;44.35;84.95;40.60;47.8%;22;DST707192;8411061067901;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
81;Perfumes;Carolina Herrera;CAROLINA HERRERA - Good Girl Légère Eau de Parfum - 50 ML - Eau de Parfum;50 ml;71.33;139.95;68.62;49.0%;15;DST190199;8411061026298;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
82;Perfumes;Carolina Herrera;Carolina Herrera CHIC - 80 ml - Eau de parfum;80 ml;36.40;69.95;33.55;48.0%;73;DST358052;8411061071601;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
83;Perfumes;Carolina Herrera;Carolina Herrera Man - 100ml - Eau de toilette;100 ml;42.53;84.95;42.42;49.9%;13;DST362657;8411061081600;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
84;Perfumes;Carolina Herrera;Carolina Herrera Carolina Herrera - 100 ml - Eau de parfum;100 ml;48.09;94.95;46.86;49.4%;4;DST354214;8411061934234;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
85;Perfumes;Carolina Herrera;Carolina Herrera CH EDT W 100 ml;100 ml;52.22;99.95;47.73;47.8%;15;DST225152;8411061607152;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
86;Perfumes;Carolina Herrera;Carolina Herrera Ch eau de toilette spray 100 ml;100 ml;60.59;119.95;59.36;49.5%;83;DST706801;8411061067895;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
87;Perfumes;Carolina Herrera;Bergamot Bloom by Carolina Herrera 100 ml - Eau De Toilette Spray;100 ml;102.08;164.95;62.87;38.1%;5;DST91028;8411061869468;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
88;Perfumes;Carolina Herrera;Carolina Herrera - Saffron Lazuli Eau de Parfum - 100 ml - Unisex;100 ml;125.69;204.95;79.26;38.7%;7;DST930537;8411061977033;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
89;Perfumes;Carolina Herrera;Carolina Herrera - Amethyst Haze Eau de Parfum - 100 ml - Unisex;100 ml;130.06;209.95;79.89;38.1%;3;DST863074;8411061002544;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
